Race,Percentage,Sch_Div
"Non-Hispanic, two or more races",12.27810651,Greenbrier Primary Chesapeake City Public Schools
Hispanic,11.24260355,Greenbrier Primary Chesapeake City Public Schools
Asian,8.875739645,Greenbrier Primary Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.73964497,Greenbrier Primary Chesapeake City Public Schools
"White, not of Hispanic origin",74.42273535,Hickory Elementary Chesapeake City Public Schools
Hispanic,9.591474245,Hickory Elementary Chesapeake City Public Schools
"Black, not of Hispanic origin",7.460035524,Hickory Elementary Chesapeake City Public Schools
"Non-Hispanic, two or more races",5.861456483,Hickory Elementary Chesapeake City Public Schools
Asian,2.131438721,Hickory Elementary Chesapeake City Public Schools
American Indian or Alaska Native,0.355239787,Hickory Elementary Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.177619893,Hickory Elementary Chesapeake City Public Schools
"White, not of Hispanic origin",76.95167286,Hickory High Chesapeake City Public Schools
Hispanic,9.045848823,Hickory High Chesapeake City Public Schools
"Non-Hispanic, two or more races",6.815365551,Hickory High Chesapeake City Public Schools
"Black, not of Hispanic origin",4.894671623,Hickory High Chesapeake City Public Schools
Asian,1.982651797,Hickory High Chesapeake City Public Schools
American Indian or Alaska Native,0.247831475,Hickory High Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.061957869,Hickory High Chesapeake City Public Schools
"White, not of Hispanic origin",74.56864216,Hickory Middle Chesapeake City Public Schools
Hispanic,9.302325581,Hickory Middle Chesapeake City Public Schools
"Non-Hispanic, two or more races",7.576894224,Hickory Middle Chesapeake City Public Schools
"Black, not of Hispanic origin",4.651162791,Hickory Middle Chesapeake City Public Schools
Asian,3.600900225,Hickory Middle Chesapeake City Public Schools
American Indian or Alaska Native,0.150037509,Hickory Middle Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.150037509,Hickory Middle Chesapeake City Public Schools
"White, not of Hispanic origin",47.38438211,Hugo A. Owens Middle Chesapeake City Public Schools
"Black, not of Hispanic origin",28.27899924,Hugo A. Owens Middle Chesapeake City Public Schools
Hispanic,11.59969674,Hugo A. Owens Middle Chesapeake City Public Schools
"Non-Hispanic, two or more races",9.173616376,Hugo A. Owens Middle Chesapeake City Public Schools
Asian,2.880970432,Hugo A. Owens Middle Chesapeake City Public Schools
American Indian or Alaska Native,0.379075057,Hugo A. Owens Middle Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.303260045,Hugo A. Owens Middle Chesapeake City Public Schools
"Black, not of Hispanic origin",49.85250737,Indian River High Chesapeake City Public Schools
"White, not of Hispanic origin",27.19764012,Indian River High Chesapeake City Public Schools
Hispanic,12.03539823,Indian River High Chesapeake City Public Schools
"Non-Hispanic, two or more races",7.84660767,Indian River High Chesapeake City Public Schools
Asian,2.831858407,Indian River High Chesapeake City Public Schools
American Indian or Alaska Native,0.17699115,Indian River High Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.05899705,Indian River High Chesapeake City Public Schools
"Black, not of Hispanic origin",52.48990579,Indian River Middle Chesapeake City Public Schools
"White, not of Hispanic origin",24.49528937,Indian River Middle Chesapeake City Public Schools
Hispanic,11.30551817,Indian River Middle Chesapeake City Public Schools
"Non-Hispanic, two or more races",8.613728129,Indian River Middle Chesapeake City Public Schools
Asian,2.557200538,Indian River Middle Chesapeake City Public Schools
American Indian or Alaska Native,0.403768506,Indian River Middle Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.134589502,Indian River Middle Chesapeake City Public Schools
"White, not of Hispanic origin",41.69054441,Jolliff Middle Chesapeake City Public Schools
"Black, not of Hispanic origin",38.39541547,Jolliff Middle Chesapeake City Public Schools
Hispanic,9.025787966,Jolliff Middle Chesapeake City Public Schools
"Non-Hispanic, two or more races",8.739255014,Jolliff Middle Chesapeake City Public Schools
Asian,1.719197708,Jolliff Middle Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.286532951,Jolliff Middle Chesapeake City Public Schools
American Indian or Alaska Native,0.143266476,Jolliff Middle Chesapeake City Public Schools
"White, not of Hispanic origin",40.65934066,Norfolk Highlands Primary Chesapeake City Public Schools
"Black, not of Hispanic origin",34.43223443,Norfolk Highlands Primary Chesapeake City Public Schools
Hispanic,13.55311355,Norfolk Highlands Primary Chesapeake City Public Schools
"Non-Hispanic, two or more races",10.25641026,Norfolk Highlands Primary Chesapeake City Public Schools
Asian,0.732600733,Norfolk Highlands Primary Chesapeake City Public Schools
American Indian or Alaska Native,0.366300366,Norfolk Highlands Primary Chesapeake City Public Schools
"Black, not of Hispanic origin",56.43738977,Oscar F. Smith High Chesapeake City Public Schools
"White, not of Hispanic origin",19.75308642,Oscar F. Smith High Chesapeake City Public Schools
Hispanic,13.58024691,Oscar F. Smith High Chesapeake City Public Schools
"Non-Hispanic, two or more races",7.010582011,Oscar F. Smith High Chesapeake City Public Schools
Asian,2.601410935,Oscar F. Smith High Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.440917108,Oscar F. Smith High Chesapeake City Public Schools
American Indian or Alaska Native,0.176366843,Oscar F. Smith High Chesapeake City Public Schools
"Black, not of Hispanic origin",62.3540856,Oscar Smith Middle Chesapeake City Public Schools
Hispanic,15.85603113,Oscar Smith Middle Chesapeake City Public Schools
"White, not of Hispanic origin",13.91050584,Oscar Smith Middle Chesapeake City Public Schools
"Non-Hispanic, two or more races",7.392996109,Oscar Smith Middle Chesapeake City Public Schools
American Indian or Alaska Native,0.389105058,Oscar Smith Middle Chesapeake City Public Schools
Asian,0.097276265,Oscar Smith Middle Chesapeake City Public Schools
"Black, not of Hispanic origin",45.11149228,Portlock Primary Chesapeake City Public Schools
Hispanic,31.04631218,Portlock Primary Chesapeake City Public Schools
"White, not of Hispanic origin",15.26586621,Portlock Primary Chesapeake City Public Schools
"Non-Hispanic, two or more races",7.890222985,Portlock Primary Chesapeake City Public Schools
Asian,0.51457976,Portlock Primary Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.171526587,Portlock Primary Chesapeake City Public Schools
"Black, not of Hispanic origin",59.38566553,Rena B. Wright Primary Chesapeake City Public Schools
"White, not of Hispanic origin",19.11262799,Rena B. Wright Primary Chesapeake City Public Schools
Hispanic,10.92150171,Rena B. Wright Primary Chesapeake City Public Schools
"Non-Hispanic, two or more races",10.23890785,Rena B. Wright Primary Chesapeake City Public Schools
American Indian or Alaska Native,0.341296928,Rena B. Wright Primary Chesapeake City Public Schools
"White, not of Hispanic origin",75.24154589,Southeastern Elementary Chesapeake City Public Schools
"Non-Hispanic, two or more races",7.850241546,Southeastern Elementary Chesapeake City Public Schools
Hispanic,7.729468599,Southeastern Elementary Chesapeake City Public Schools
"Black, not of Hispanic origin",5.676328502,Southeastern Elementary Chesapeake City Public Schools
Asian,3.502415459,Southeastern Elementary Chesapeake City Public Schools
"Black, not of Hispanic origin",63.50364964,Southwestern Elementary Chesapeake City Public Schools
Hispanic,13.86861314,Southwestern Elementary Chesapeake City Public Schools
"White, not of Hispanic origin",13.50364964,Southwestern Elementary Chesapeake City Public Schools
"Non-Hispanic, two or more races",7.846715328,Southwestern Elementary Chesapeake City Public Schools
Asian,1.277372263,Southwestern Elementary Chesapeake City Public Schools
"Black, not of Hispanic origin",50.10438413,Sparrow Road Intermediate Chesapeake City Public Schools
"White, not of Hispanic origin",26.0960334,Sparrow Road Intermediate Chesapeake City Public Schools
Hispanic,11.4822547,Sparrow Road Intermediate Chesapeake City Public Schools
"Non-Hispanic, two or more races",9.812108559,Sparrow Road Intermediate Chesapeake City Public Schools
Asian,1.878914405,Sparrow Road Intermediate Chesapeake City Public Schools
American Indian or Alaska Native,0.417536534,Sparrow Road Intermediate Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.208768267,Sparrow Road Intermediate Chesapeake City Public Schools
"Black, not of Hispanic origin",85.34883721,Thurgood Marshall Elementary Chesapeake City Public Schools
Hispanic,5.348837209,Thurgood Marshall Elementary Chesapeake City Public Schools
"White, not of Hispanic origin",4.88372093,Thurgood Marshall Elementary Chesapeake City Public Schools
"Non-Hispanic, two or more races",3.720930233,Thurgood Marshall Elementary Chesapeake City Public Schools
American Indian or Alaska Native,0.697674419,Thurgood Marshall Elementary Chesapeake City Public Schools
"Black, not of Hispanic origin",63.878327,Truitt Intermediate Chesapeake City Public Schools
"White, not of Hispanic origin",19.01140684,Truitt Intermediate Chesapeake City Public Schools
"Non-Hispanic, two or more races",11.02661597,Truitt Intermediate Chesapeake City Public Schools
Hispanic,5.703422053,Truitt Intermediate Chesapeake City Public Schools
Asian,0.380228137,Truitt Intermediate Chesapeake City Public Schools
"Black, not of Hispanic origin",40.58106842,Western Branch High Chesapeake City Public Schools
"White, not of Hispanic origin",38.98781631,Western Branch High Chesapeake City Public Schools
"Non-Hispanic, two or more races",8.62230553,Western Branch High Chesapeake City Public Schools
Hispanic,7.029053421,Western Branch High Chesapeake City Public Schools
Asian,3.842549203,Western Branch High Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.60918463,Western Branch High Chesapeake City Public Schools
American Indian or Alaska Native,0.328022493,Western Branch High Chesapeake City Public Schools
"White, not of Hispanic origin",39.00134953,Western Branch Intermediate Chesapeake City Public Schools
"Black, not of Hispanic origin",36.7071525,Western Branch Intermediate Chesapeake City Public Schools
Hispanic,10.79622132,Western Branch Intermediate Chesapeake City Public Schools
"Non-Hispanic, two or more races",8.771929825,Western Branch Intermediate Chesapeake City Public Schools
Asian,4.183535762,Western Branch Intermediate Chesapeake City Public Schools
American Indian or Alaska Native,0.269905533,Western Branch Intermediate Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.269905533,Western Branch Intermediate Chesapeake City Public Schools
"Black, not of Hispanic origin",37.91208791,Western Branch Middle Chesapeake City Public Schools
"White, not of Hispanic origin",37.69230769,Western Branch Middle Chesapeake City Public Schools
"Non-Hispanic, two or more races",9.56043956,Western Branch Middle Chesapeake City Public Schools
Hispanic,8.681318681,Western Branch Middle Chesapeake City Public Schools
Asian,5.164835165,Western Branch Middle Chesapeake City Public Schools
American Indian or Alaska Native,0.659340659,Western Branch Middle Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.32967033,Western Branch Middle Chesapeake City Public Schools
"White, not of Hispanic origin",40.32042724,Western Branch Primary Chesapeake City Public Schools
"Black, not of Hispanic origin",34.17890521,Western Branch Primary Chesapeake City Public Schools
"Non-Hispanic, two or more races",10.94793057,Western Branch Primary Chesapeake City Public Schools
Hispanic,10.01335113,Western Branch Primary Chesapeake City Public Schools
Asian,3.47129506,Western Branch Primary Chesapeake City Public Schools
Native Hawaiian  or Pacific Islander,0.801068091,Western Branch Primary Chesapeake City Public Schools
American Indian or Alaska Native,0.267022697,Western Branch Primary Chesapeake City Public Schools
"Black, not of Hispanic origin",35.25280899,A.M. Davis Elementary Chesterfield County Public Schools
Hispanic,34.26966292,A.M. Davis Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",19.94382022,A.M. Davis Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.898876404,A.M. Davis Elementary Chesterfield County Public Schools
Asian,4.213483146,A.M. Davis Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.280898876,A.M. Davis Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.140449438,A.M. Davis Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",58.37320574,Alberta Smith Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",16.90590112,Alberta Smith Elementary Chesterfield County Public Schools
Hispanic,14.19457735,Alberta Smith Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",8.612440191,Alberta Smith Elementary Chesterfield County Public Schools
Asian,1.913875598,Alberta Smith Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",57.42511154,Bailey Bridge Middle Chesterfield County Public Schools
"Black, not of Hispanic origin",19.69407266,Bailey Bridge Middle Chesterfield County Public Schools
Hispanic,12.93817718,Bailey Bridge Middle Chesterfield County Public Schools
"Non-Hispanic, two or more races",6.947100064,Bailey Bridge Middle Chesterfield County Public Schools
Asian,2.804333971,Bailey Bridge Middle Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.127469726,Bailey Bridge Middle Chesterfield County Public Schools
American Indian or Alaska Native,0.063734863,Bailey Bridge Middle Chesterfield County Public Schools
Hispanic,49.69325153,Bellwood Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",26.58486708,Bellwood Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",16.15541922,Bellwood Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",3.680981595,Bellwood Elementary Chesterfield County Public Schools
Asian,3.27198364,Bellwood Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.613496933,Bellwood Elementary Chesterfield County Public Schools
Hispanic,72.43066884,Bensley Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",20.7177814,Bensley Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",4.078303426,Bensley Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",2.446982055,Bensley Elementary Chesterfield County Public Schools
Asian,0.326264274,Bensley Elementary Chesterfield County Public Schools
American Indian or Alaska Native,,Bensley Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",90.72164948,Bettie Weaver Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",3.264604811,Bettie Weaver Elementary Chesterfield County Public Schools
Hispanic,2.06185567,Bettie Weaver Elementary Chesterfield County Public Schools
Asian,1.718213058,Bettie Weaver Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",1.718213058,Bettie Weaver Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.343642612,Bettie Weaver Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.171821306,Bettie Weaver Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",44.77766287,Beulah Elementary Chesterfield County Public Schools
Hispanic,32.36814891,Beulah Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",16.442606,Beulah Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",4.136504654,Beulah Elementary Chesterfield County Public Schools
Asian,1.96483971,Beulah Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.310237849,Beulah Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",59.72927242,Bon Air Elementary Chesterfield County Public Schools
Hispanic,25.71912014,Bon Air Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",6.091370558,Bon Air Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.076142132,Bon Air Elementary Chesterfield County Public Schools
Asian,3.214890017,Bon Air Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.169204738,Bon Air Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",38.94080997,C.C. Wells Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",37.22741433,C.C. Wells Elementary Chesterfield County Public Schools
Hispanic,14.64174455,C.C. Wells Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",7.165109034,C.C. Wells Elementary Chesterfield County Public Schools
Asian,1.713395639,C.C. Wells Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.31152648,C.C. Wells Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",44.0652819,C.E. Curtis Elementary Chesterfield County Public Schools
Hispanic,24.92581602,C.E. Curtis Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",23.29376855,C.E. Curtis Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",6.083086053,C.E. Curtis Elementary Chesterfield County Public Schools
Asian,0.890207715,C.E. Curtis Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.59347181,C.E. Curtis Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.148367953,C.E. Curtis Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",40,Carver College and Career Academy Chesterfield County Public Schools
"White, not of Hispanic origin",36.66666667,Carver College and Career Academy Chesterfield County Public Schools
Hispanic,15.71428571,Carver College and Career Academy Chesterfield County Public Schools
"Non-Hispanic, two or more races",6.19047619,Carver College and Career Academy Chesterfield County Public Schools
Asian,0.952380952,Carver College and Career Academy Chesterfield County Public Schools
American Indian or Alaska Native,0.476190476,Carver College and Career Academy Chesterfield County Public Schools
"Black, not of Hispanic origin",51.53203343,Carver Middle Chesterfield County Public Schools
"White, not of Hispanic origin",28.78365831,Carver Middle Chesterfield County Public Schools
Hispanic,12.72051996,Carver Middle Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.013927577,Carver Middle Chesterfield County Public Schools
Asian,1.207056639,Carver Middle Chesterfield County Public Schools
American Indian or Alaska Native,0.464252553,Carver Middle Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.278551532,Carver Middle Chesterfield County Public Schools
"White, not of Hispanic origin",61.2244898,Clover Hill Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",16.96428571,Clover Hill Elementary Chesterfield County Public Schools
Hispanic,8.801020408,Clover Hill Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",7.525510204,Clover Hill Elementary Chesterfield County Public Schools
Asian,5.229591837,Clover Hill Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.255102041,Clover Hill Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",50.11135857,Clover Hill High Chesterfield County Public Schools
"Black, not of Hispanic origin",25.05567929,Clover Hill High Chesterfield County Public Schools
Hispanic,12.52783964,Clover Hill High Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.957683742,Clover Hill High Chesterfield County Public Schools
Asian,5.734966592,Clover Hill High Chesterfield County Public Schools
American Indian or Alaska Native,0.389755011,Clover Hill High Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.222717149,Clover Hill High Chesterfield County Public Schools
"White, not of Hispanic origin",68.94036894,Cosby High Chesterfield County Public Schools
"Black, not of Hispanic origin",14.8005148,Cosby High Chesterfield County Public Schools
Hispanic,6.778206778,Cosby High Chesterfield County Public Schools
Asian,4.804804805,Cosby High Chesterfield County Public Schools
"Non-Hispanic, two or more races",4.375804376,Cosby High Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.214500215,Cosby High Chesterfield County Public Schools
American Indian or Alaska Native,0.085800086,Cosby High Chesterfield County Public Schools
"White, not of Hispanic origin",40.81632653,Crestwood Elementary Chesterfield County Public Schools
Hispanic,30.10204082,Crestwood Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",19.55782313,Crestwood Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",6.972789116,Crestwood Elementary Chesterfield County Public Schools
Asian,2.551020408,Crestwood Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",40.40540541,Ecoff Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",38.10810811,Ecoff Elementary Chesterfield County Public Schools
Hispanic,11.62162162,Ecoff Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",6.621621622,Ecoff Elementary Chesterfield County Public Schools
Asian,2.837837838,Ecoff Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.27027027,Ecoff Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.135135135,Ecoff Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",40.21909233,Elizabeth Davis Middle Chesterfield County Public Schools
"Black, not of Hispanic origin",27.38654147,Elizabeth Davis Middle Chesterfield County Public Schools
Hispanic,24.41314554,Elizabeth Davis Middle Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.007824726,Elizabeth Davis Middle Chesterfield County Public Schools
Asian,2.190923318,Elizabeth Davis Middle Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.547730829,Elizabeth Davis Middle Chesterfield County Public Schools
American Indian or Alaska Native,0.234741784,Elizabeth Davis Middle Chesterfield County Public Schools
Hispanic,42.49363868,Elizabeth Scott Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",30.02544529,Elizabeth Scott Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",20.86513995,Elizabeth Scott Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",3.944020356,Elizabeth Scott Elementary Chesterfield County Public Schools
Asian,2.544529262,Elizabeth Scott Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.127226463,Elizabeth Scott Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",41.01198402,Enon Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",27.29693742,Enon Elementary Chesterfield County Public Schools
Hispanic,20.7723036,Enon Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.85885486,Enon Elementary Chesterfield County Public Schools
Asian,4.127829561,Enon Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.532623169,Enon Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.399467377,Enon Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",66.93877551,Ettrick Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",17.75510204,Ettrick Elementary Chesterfield County Public Schools
Hispanic,7.755102041,Ettrick Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",7.142857143,Ettrick Elementary Chesterfield County Public Schools
Asian,0.408163265,Ettrick Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",62.61574074,Evergreen Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",14.00462963,Evergreen Elementary Chesterfield County Public Schools
Hispanic,9.837962963,Evergreen Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",7.523148148,Evergreen Elementary Chesterfield County Public Schools
Asian,5.671296296,Evergreen Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.347222222,Evergreen Elementary Chesterfield County Public Schools
Hispanic,50.31525851,Falling Creek Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",38.83984868,Falling Creek Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",6.809583859,Falling Creek Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",2.017654477,Falling Creek Elementary Chesterfield County Public Schools
Asian,1.891551072,Falling Creek Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.126103405,Falling Creek Elementary Chesterfield County Public Schools
Hispanic,48.46834581,Falling Creek Middle Chesterfield County Public Schools
"Black, not of Hispanic origin",41.59292035,Falling Creek Middle Chesterfield County Public Schools
"White, not of Hispanic origin",6.126616746,Falling Creek Middle Chesterfield County Public Schools
"Non-Hispanic, two or more races",2.042205582,Falling Creek Middle Chesterfield County Public Schools
Asian,1.633764466,Falling Creek Middle Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.136147039,Falling Creek Middle Chesterfield County Public Schools
"White, not of Hispanic origin",73.92776524,Grange Hall Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",9.593679458,Grange Hall Elementary Chesterfield County Public Schools
Hispanic,7.674943567,Grange Hall Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",4.853273138,Grange Hall Elementary Chesterfield County Public Schools
Asian,3.498871332,Grange Hall Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.338600451,Grange Hall Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.112866817,Grange Hall Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",63.41463415,Greenfield Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",14.83739837,Greenfield Elementary Chesterfield County Public Schools
Hispanic,9.959349593,Greenfield Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",8.130081301,Greenfield Elementary Chesterfield County Public Schools
Asian,3.658536585,Greenfield Elementary Chesterfield County Public Schools
American Indian or Alaska Native,,Greenfield Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",49.01531729,Harrowgate Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",28.4463895,Harrowgate Elementary Chesterfield County Public Schools
Hispanic,13.78555799,Harrowgate Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",7.877461707,Harrowgate Elementary Chesterfield County Public Schools
Asian,0.656455142,Harrowgate Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.218818381,Harrowgate Elementary Chesterfield County Public Schools
Hispanic,46.7025572,Hopkins Road Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",39.30013459,Hopkins Road Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",7.940780619,Hopkins Road Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",3.768506057,Hopkins Road Elementary Chesterfield County Public Schools
Asian,2.153432032,Hopkins Road Elementary Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.134589502,Hopkins Road Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",53.93120393,J.A. Chalkley Elementary Chesterfield County Public Schools
Hispanic,37.34643735,J.A. Chalkley Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",5.036855037,J.A. Chalkley Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",2.702702703,J.A. Chalkley Elementary Chesterfield County Public Schools
Asian,0.982800983,J.A. Chalkley Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",71.55499368,J.B. Watkins Elementary Chesterfield County Public Schools
Asian,8.849557522,J.B. Watkins Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",8.470290771,J.B. Watkins Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.689001264,J.B. Watkins Elementary Chesterfield County Public Schools
Hispanic,5.183312263,J.B. Watkins Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.252844501,J.B. Watkins Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",45.8996328,J.G. Hening Elementary Chesterfield County Public Schools
Hispanic,37.45410037,J.G. Hening Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",9.914320685,J.G. Hening Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",4.52876377,J.G. Hening Elementary Chesterfield County Public Schools
Asian,2.203182375,J.G. Hening Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",32.8057554,Jacobs Road Elementary Chesterfield County Public Schools
"Black, not of Hispanic origin",31.79856115,Jacobs Road Elementary Chesterfield County Public Schools
Hispanic,24.89208633,Jacobs Road Elementary Chesterfield County Public Schools
"Non-Hispanic, two or more races",7.769784173,Jacobs Road Elementary Chesterfield County Public Schools
Asian,2.589928058,Jacobs Road Elementary Chesterfield County Public Schools
American Indian or Alaska Native,0.143884892,Jacobs Road Elementary Chesterfield County Public Schools
"White, not of Hispanic origin",57.5,James River High Chesterfield County Public Schools
Hispanic,18.02083333,James River High Chesterfield County Public Schools
"Black, not of Hispanic origin",14.79166667,James River High Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.260416667,James River High Chesterfield County Public Schools
Asian,4.375,James River High Chesterfield County Public Schools
American Indian or Alaska Native,0.052083333,James River High Chesterfield County Public Schools
"Black, not of Hispanic origin",40,Lloyd C. Bird High Chesterfield County Public Schools
"White, not of Hispanic origin",29.01098901,Lloyd C. Bird High Chesterfield County Public Schools
Hispanic,23.84615385,Lloyd C. Bird High Chesterfield County Public Schools
"Non-Hispanic, two or more races",4.450549451,Lloyd C. Bird High Chesterfield County Public Schools
Asian,2.582417582,Lloyd C. Bird High Chesterfield County Public Schools
American Indian or Alaska Native,0.054945055,Lloyd C. Bird High Chesterfield County Public Schools
Native Hawaiian  or Pacific Islander,0.054945055,Lloyd C. Bird High Chesterfield County Public Schools
"White, not of Hispanic origin",46.70280036,Manchester High Chesterfield County Public Schools
"Black, not of Hispanic origin",29.13279133,Manchester High Chesterfield County Public Schools
Hispanic,16.30532972,Manchester High Chesterfield County Public Schools
"Non-Hispanic, two or more races",5.149051491,Manchester High Chesterfield County Public Schools
Asian,2.393857272,Manchester High Chesterfield County Public Schools
