Free_And_Reduced_Lunch_Percent_Eligible,Sch_Div
18.4,Bonnie Brae Elementary Fairfax County Public Schools
30.5,Fort Hunt Elementary Fairfax County Public Schools
37.9,Hughes Middle Fairfax County Public Schools
8,Laurel Ridge Elementary Fairfax County Public Schools
23.3,Stratford Landing Elementary Fairfax County Public Schools
60.3,Beech Tree Elementary Fairfax County Public Schools
21.9,White Oaks Elementary Fairfax County Public Schools
16.6,Powell Elementary Fairfax County Public Schools
11.3,Sunrise Valley Elementary Fairfax County Public Schools
72,Fairview Elementary Grayson County Public Schools
59.3,Grayson Highlands Grayson County Public Schools
64.7,Independence Middle Grayson County Public Schools
56.8,Grayson County High Grayson County Public Schools
69.4,Independence Elementary Grayson County Public Schools
88.3,Fries Elementary Grayson County Public Schools
84.6,Cluster Springs Elementary Halifax County Public Schools
84.8,Sinai Elementary Halifax County Public Schools
84.9,Clays Mill Elementary Halifax County Public Schools
84.7,Scottsburg Elementary Halifax County Public Schools
84.6,Halifax County High Halifax County Public Schools
84.5,South Boston Elementary Halifax County Public Schools
84.6,Meadville Elementary Halifax County Public Schools
84.4,Sydnor Jennings Elementary Halifax County Public Schools
84.6,Halifax County Middle Halifax County Public Schools
46.6,Elmont Elementary Hanover County Public Schools
51.3,John M. Gandy Elementary Hanover County Public Schools
36.7,Liberty Middle Hanover County Public Schools
27.1,Patrick Henry High Hanover County Public Schools
16.9,Battlefield Park Elementary Hanover County Public Schools
38.2,Cold Harbor Elementary Hanover County Public Schools
28.9,Laurel Meadow Elementary Hanover County Public Schools
56,Mechanicsville Elementary Hanover County Public Schools
20,Mechanicsville High Hanover County Public Schools
14.3,Hanover High Hanover County Public Schools
10.9,Kersey Creek Elementary Hanover County Public Schools
12.3,Oak Knoll Middle Hanover County Public Schools
5.8,Pearson's Corner Elementary Hanover County Public Schools
15.5,Pole Green Elementary Hanover County Public Schools
13.9,Rural Point Elementary Hanover County Public Schools
29.6,Bell Creek Middle Hanover County Public Schools
26.5,Beaverdam Elementary Hanover County Public Schools
15.4,Chickahominy Middle Hanover County Public Schools
10.8,Atlee High Hanover County Public Schools
21.9,South Anna Elementary Hanover County Public Schools
9.2,Cool Spring Elementary Hanover County Public Schools
82.3,Glen Lea Elementary Henrico County Public Schools
82.2,Laburnum Elementary Henrico County Public Schools
82.3,Fairfield Middle Henrico County Public Schools
82.2,Harold Macon Ratcliffe Elementary Henrico County Public Schools
82.2,Harvie Elementary Henrico County Public Schools
82.3,Jacob L. Adams Elementary Henrico County Public Schools
63.2,Chamberlayne Elementary Henrico County Public Schools
82.2,L. Douglas Wilder Middle Henrico County Public Schools
72.9,Brookland Middle Henrico County Public Schools
82.3,Elizabeth Holladay Elementary Henrico County Public Schools
30.3,George H. Moody Middle Henrico County Public Schools
54,Hermitage High Henrico County Public Schools
70.7,Lakeside Elementary Henrico County Public Schools
31.1,Douglas S. Freeman High Henrico County Public Schools
82.4,Ridge Elementary Henrico County Public Schools
41.6,Three Chopt Elementary Henrico County Public Schools
5.9,Tuckahoe Elementary Henrico County Public Schools
30.4,Tuckahoe Middle Henrico County Public Schools
82.3,Charles M. Johnson Elementary Henrico County Public Schools
68.1,George F. Baker Elementary Henrico County Public Schools
82.3,Henry D. Ward Elementary Henrico County Public Schools
82.2,John Rolfe Middle Henrico County Public Schools
82.2,Montrose Elementary Henrico County Public Schools
49.7,Varina Elementary Henrico County Public Schools
52.4,Varina High Henrico County Public Schools
10.8,Gayton Elementary Henrico County Public Schools
8,Nuckols Farm Elementary Henrico County Public Schools
16.8,Pemberton Elementary Henrico County Public Schools
48.1,Quioccasin Middle Henrico County Public Schools
11.2,Short Pump Elementary Henrico County Public Schools
16,Mills E. Godwin High Henrico County Public Schools
46.2,John Randolph Tucker High Henrico County Public Schools
55.5,R.C. Longan Elementary Henrico County Public Schools
82.2,Cashell Donahoe Elementary Henrico County Public Schools
62.9,Elko Middle Henrico County Public Schools
82.4,Sandston Elementary Henrico County Public Schools
55.9,Seven Pines Elementary Henrico County Public Schools
11,Colonial Trail Elementary Henrico County Public Schools
7.5,Deep Run High Henrico County Public Schools
5.4,Rivers Edge Elementary Henrico County Public Schools
5,Shady Grove Elementary Henrico County Public Schools
11.9,Twin Hickory Elementary Henrico County Public Schools
18.5,Glen Allen High Henrico County Public Schools
82.2,Longdale Elementary Henrico County Public Schools
9,Short Pump Middle Henrico County Public Schools
27.7,Springfield Park Elementary Henrico County Public Schools
82.3,Fair Oaks Elementary Henrico County Public Schools
82.2,Highland Springs Elementary Henrico County Public Schools
59.6,Highland Springs High Henrico County Public Schools
54.7,Maude Trevvett Elementary Henrico County Public Schools
21,Pocahontas Middle Henrico County Public Schools
23,Echo Lake Elementary Henrico County Public Schools
14.9,Glen Allen Elementary Henrico County Public Schools
80.3,Dumbarton Elementary Henrico County Public Schools
47.7,Crestview Elementary Henrico County Public Schools
34.2,Maybeury Elementary Henrico County Public Schools
51.2,Henrico High Henrico County Public Schools
57,Skipwith Elementary Henrico County Public Schools
43.5,Pinchbeck Elementary Henrico County Public Schools
45.9,Ruby F. Carver Elementary Henrico County Public Schools
34.9,Jackson Davis Elementary Henrico County Public Schools
23,Harrington Waddell Elementary Lexington City Public Schools
23.7,Lylburn Downing Middle Lexington City Public Schools
13.3,Aldie Elementary Loudoun County Public Schools
10.2,Arcola Elementary Loudoun County Public Schools
5.6,Buffalo Trail Elementary Loudoun County Public Schools
4.6,Goshen Post Elementary Loudoun County Public Schools
11.8,John Champe High Loudoun County Public Schools
8.9,Pinebrook Elementary Loudoun County Public Schools
17.8,Broad Run High Loudoun County Public Schools
17.2,Cedar Lane Elementary Loudoun County Public Schools
20.3,Discovery Elementary Loudoun County Public Schools
13.7,Sanders Corner Elementary Loudoun County Public Schools
22.2,Steuart W. Weller Elementary Loudoun County Public Schools
10.4,Stone Bridge High Loudoun County Public Schools
11.6,Trailside Middle Loudoun County Public Schools
5.6,Brambleton Middle Loudoun County Public Schools
12.5,Creighton's Corner Elementary Loudoun County Public Schools
5.7,Eagle Ridge Middle Loudoun County Public Schools
8.4,Hillside Elementary Loudoun County Public Schools
7.7,Independence High Loudoun County Public Schools
3.4,Madison's Trust Elementary Loudoun County Public Schools
2.8,Mill Run Elementary Loudoun County Public Schools
13.1,Moorefield Station Elementary Loudoun County Public Schools
11.8,Rock Ridge High Loudoun County Public Schools
6.4,Rosa Lee Carter Elementary Loudoun County Public Schools
11.6,Stone Hill Middle Loudoun County Public Schools
6.6,Waxpool Elementary Loudoun County Public Schools
13.6,Hamilton Elementary Loudoun County Public Schools
7.7,Harmony Middle Loudoun County Public Schools
8.3,Kenneth W.Culbert Elementary Loudoun County Public Schools
26.8,Catoctin Elementary Loudoun County Public Schools
42.1,Frederick Douglass Elementary Loudoun County Public Schools
22.5,Heritage High Loudoun County Public Schools
23.7,J. Lupton Simpson Middle Loudoun County Public Schools
17.9,Loudoun County High Loudoun County Public Schools
21.8,Ball's Bluff Elementary Loudoun County Public Schools
10.6,Belmont Ridge Middle Loudoun County Public Schools
22.6,Harper Park Middle Loudoun County Public Schools
20,Lucketts Elementary Loudoun County Public Schools
9.6,Riverside High Loudoun County Public Schools
10.3,Seldens Landing Elementary Loudoun County Public Schools
26,Tuscarora High Loudoun County Public Schools
30.2,Dominion High Loudoun County Public Schools
81.7,Guilford Elementary Loudoun County Public Schools
66.3,Park View High Loudoun County Public Schools
35.5,Seneca Ridge Middle Loudoun County Public Schools
61.9,Sterling Elementary Loudoun County Public Schools
71.8,Sterling Middle Loudoun County Public Schools
71,Sugarland Elementary Loudoun County Public Schools
84.3,Sully Elementary Loudoun County Public Schools
11,Algonkian Elementary Loudoun County Public Schools
33.9,Countryside Elementary Loudoun County Public Schools
16.5,Horizon Elementary Loudoun County Public Schools
8.7,Lowes Island Elementary Loudoun County Public Schools
24.7,River Bend Middle Loudoun County Public Schools
10.1,J. Michael Lunsford Middle Loudoun County Public Schools
2.6,Waterford Elementary Loudoun County Public Schools
28.3,Banneker Elementary Loudoun County Public Schools
6.9,Round Hill Elementary Loudoun County Public Schools
11.8,Blue Ridge Middle Loudoun County Public Schools
19,Emerick Elementary Loudoun County Public Schools
2.2,Lincoln Elementary Loudoun County Public Schools
7.4,Woodgrove High Loudoun County Public Schools
13,Mountain View Elementary Loudoun County Public Schools
22.5,Hutchison Farm Elementary Loudoun County Public Schools
21.7,Potomac Falls High Loudoun County Public Schools
27.9,Frances Hazel Reid Elementary Loudoun County Public Schools
20.2,Farmwell Station Middle Loudoun County Public Schools
9.6,Willard Middle Loudoun County Public Schools
49.1,Meadowland Elementary Loudoun County Public Schools
41.8,Leesburg Elementary Loudoun County Public Schools
11.9,Lovettsville Elementary Loudoun County Public Schools
34.2,Evergreen Mill Elementary Loudoun County Public Schools
8.7,Loudoun Valley High Loudoun County Public Schools
14.3,Ashburn Elementary Loudoun County Public Schools
3.2,Sycolin Creek Elementary Loudoun County Public Schools
37.4,Cool Spring Elementary Loudoun County Public Schools
60.8,Forest Grove Elementary Loudoun County Public Schools
5.3,Little River Elementary Loudoun County Public Schools
39.4,Potowmack Elementary Loudoun County Public Schools
29.6,Dominion Trail Elementary Loudoun County Public Schools
67.8,Rolling Ridge Elementary Loudoun County Public Schools
9.5,Liberty Elementary Loudoun County Public Schools
61.6,Heritage High Lynchburg City Public Schools
92.8,William M. Bass Elementary Lynchburg City Public Schools
92.7,Perrymont Elementary Lynchburg City Public Schools
92.7,Sheffield Elementary Lynchburg City Public Schools
92.7,Heritage Elementary Lynchburg City Public Schools
92.9,Sandusky Elementary Lynchburg City Public Schools
92.8,Sandusky Middle Lynchburg City Public Schools
92.8,Paul Munro Elementary Lynchburg City Public Schools
92.8,Linkhorne Elementary Lynchburg City Public Schools
92.7,Linkhorne Middle Lynchburg City Public Schools
92.7,Bedford Hills Elementary Lynchburg City Public Schools
92.8,Robert S. Payne Elementary Lynchburg City Public Schools
40.8,Madison County High Madison County Public Schools
42.9,Waverly Yowell Elementary Madison County Public Schools
47,William H. Wetsel Middle Madison County Public Schools
48.8,Mathews Elementary Mathews County Public Schools
45.2,Thomas Hunter Middle Mathews County Public Schools
42.6,Mathews High Mathews County Public Schools
69.2,Hardin Reynolds Memorial School Patrick County Public Schools
69.2,Blue Ridge Elementary Patrick County Public Schools
69,Stuart Elementary Patrick County Public Schools
69.4,Woolwine Elementary Patrick County Public Schools
69,Patrick Springs Primary Patrick County Public Schools
69.1,Patrick County High Patrick County Public Schools
79.1,Dublin Elementary Pulaski County Public Schools
46.5,Pulaski County Senior High Pulaski County Public Schools
79.2,Snowville Elementary Pulaski County Public Schools
79.1,Critzer Elementary Pulaski County Public Schools
79,Riverlawn Elementary Pulaski County Public Schools
21.1,Fort Lewis Elementary Roanoke County Public Schools
32,Glenvar Elementary Roanoke County Public Schools
24.5,Glenvar High Roanoke County Public Schools
32.3,Glenvar Middle Roanoke County Public Schools
44.7,Mason's Cove Elementary Roanoke County Public Schools
48.9,Herman L. Horn Elementary Roanoke County Public Schools
41.2,W.E. Cundiff Elementary Roanoke County Public Schools
34,William Byrd Middle Roanoke County Public Schools
20.3,Back Creek Elementary Roanoke County Public Schools
21,Cave Spring Elementary Roanoke County Public Schools
16.1,Cave Spring High Roanoke County Public Schools
28.3,Green Valley Elementary Roanoke County Public Schools
15.8,Hidden Valley High Roanoke County Public Schools
22.1,Hidden Valley Middle Roanoke County Public Schools
17.5,Penn Forest Elementary Roanoke County Public Schools
16.7,Bonsack Elementary Roanoke County Public Schools
59,Burlington Elementary Roanoke County Public Schools
33.5,Glen Cove Elementary Roanoke County Public Schools
41.9,Northside Middle Roanoke County Public Schools
44.8,Mountain View Elementary Roanoke County Public Schools
28.6,William Byrd High Roanoke County Public Schools
20.8,Cave Spring Middle Roanoke County Public Schools
35.9,Northside High Roanoke County Public Schools
47.2,Mount Pleasant Elementary Roanoke County Public Schools
28.3,Clearbrook Elementary Roanoke County Public Schools
33.3,Oak Grove Elementary Roanoke County Public Schools
49.7,Lebanon High Russell County Public Schools
48.4,Belfast Elementary Russell County Public Schools
96.1,Castlewood Elementary Russell County Public Schools
66.3,Castlewood High Russell County Public Schools
62.1,Honaker High Russell County Public Schools
67.1,Honaker Elementary Russell County Public Schools
54.5,Lebanon Elementary Russell County Public Schools
76.9,Swords Creek Elementary Russell County Public Schools
53.4,Lebanon Middle Russell County Public Schools
91.1,Pungoteague Elementary Accomack County Public Schools
91,Nandua High Accomack County Public Schools
91.1,Nandua Middle Accomack County Public Schools
91.1,Accawmacke Elementary Accomack County Public Schools
91.3,Tangier Combined Accomack County Public Schools
91.1,Arcadia High Accomack County Public Schools
91,Metompkin Elementary Accomack County Public Schools
91.1,Kegotank Elementary Accomack County Public Schools
91.2,Chincoteague High Accomack County Public Schools
91,Chincoteague Elementary Accomack County Public Schools
47.4,George Washington Middle Alexandria City Public Schools
30.5,Naomi L. Brooks Elementary Alexandria City Public Schools
60.1,Alexandria City High School Alexandria City Public Schools
36.4,Douglas MacArthur Elementary Alexandria City Public Schools
77.8,Francis C. Hammond Middle Alexandria City Public Schools
77.5,Patrick Henry K-8 School Alexandria City Public Schools
58.4,Samuel W. Tucker Elementary Alexandria City Public Schools
87.3,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
50.6,Mount Vernon Elementary Alexandria City Public Schools
82.1,Ferdinand T. Day Elementary Alexandria City Public Schools
72,John Adams Elementary Alexandria City Public Schools
85.8,William Ramsay Elementary Alexandria City Public Schools
63.4,Jefferson-Houston PK-8 School Alexandria City Public Schools
30.1,George Mason Elementary Alexandria City Public Schools
71.7,James K. Polk Elementary Alexandria City Public Schools
31.7,Charles Barrett Elementary Alexandria City Public Schools
19.3,Lyles-Crouch Elementary Alexandria City Public Schools
84,Grundy High Buchanan County Public Schools
84.1,Riverview Elementary/Middle Buchanan County Public Schools
84.2,Hurley High Buchanan County Public Schools
84.1,Twin Valley High Buchanan County Public Schools
84.3,Council Elementary/Middle Buchanan County Public Schools
84.2,Hurley Elementary/Middle Buchanan County Public Schools
84.1,Twin Valley Elementary/Middle Buchanan County Public Schools
63.1,William Campbell High Campbell County Public Schools
47.8,Concord Elementary Campbell County Public Schools
45.2,Rustburg High Campbell County Public Schools
52.9,Yellow Branch Elementary Campbell County Public Schools
50,Altavista High Campbell County Public Schools
39.7,Brookville Middle Campbell County Public Schools
43.2,Leesville Road Elementary Campbell County Public Schools
62.4,Altavista Elementary Campbell County Public Schools
32.6,Brookville High Campbell County Public Schools
73,Brookneal Elementary Campbell County Public Schools
51.6,Rustburg Middle Campbell County Public Schools
65.3,Rustburg Elementary Campbell County Public Schools
42.9,Tomahawk Elementary Campbell County Public Schools
60.9,Bowling Green Elementary Caroline County Public Schools
47.3,Caroline High Caroline County Public Schools
53.8,Caroline Middle Caroline County Public Schools
63.2,Madison Elementary Caroline County Public Schools
43.9,Lewis and Clark Elementary Caroline County Public Schools
37,Greenbrier Middle Chesapeake City Public Schools
57.9,Oscar F. Smith High Chesapeake City Public Schools
25.9,Edwin W. Chittum Elementary Chesapeake City Public Schools
37.3,Jolliff Middle Chesapeake City Public Schools
59.9,Southwestern Elementary Chesapeake City Public Schools
30.7,Western Branch High Chesapeake City Public Schools
39.6,Western Branch Intermediate Chesapeake City Public Schools
12.4,Butts Road Intermediate Chesapeake City Public Schools
20.5,Cedar Road Elementary Chesapeake City Public Schools
18.9,Great Bridge High Chesapeake City Public Schools
16.6,Great Bridge Middle Chesapeake City Public Schools
23.8,Hickory Elementary Chesapeake City Public Schools
8,Hickory High Chesapeake City Public Schools
12.8,Hickory Middle Chesapeake City Public Schools
15.4,Southeastern Elementary Chesapeake City Public Schools
29.4,Deep Creek Central Elementary Chesapeake City Public Schools
47.9,Deep Creek Elementary Chesapeake City Public Schools
46,Deep Creek High Chesapeake City Public Schools
48.1,Deep Creek Middle Chesapeake City Public Schools
12.6,Grassfield High Chesapeake City Public Schools
26.2,Hugo A. Owens Middle Chesapeake City Public Schools
97.1,Oscar Smith Middle Chesapeake City Public Schools
97.1,Truitt Intermediate Chesapeake City Public Schools
45.2,Indian River High Chesapeake City Public Schools
60.6,Indian River Middle Chesapeake City Public Schools
60.9,Sparrow Road Intermediate Chesapeake City Public Schools
50.2,Crestwood Middle Chesapeake City Public Schools
23.3,Grassfield Elementary Chesapeake City Public Schools
97.1,Camelot Elementary Chesapeake City Public Schools
96.9,G.A. Treakle Elementary Chesapeake City Public Schools
47,Norfolk Highlands Primary Chesapeake City Public Schools
18.3,Great Bridge Intermediate Chesapeake City Public Schools
55.1,Crestwood Intermediate Chesapeake City Public Schools
97,George W. Carver Intermediate Chesapeake City Public Schools
70.6,Georgetown Primary Chesapeake City Public Schools
34.4,Western Branch Middle Chesapeake City Public Schools
34.6,Greenbrier Intermediate Chesapeake City Public Schools
97,Thurgood Marshall Elementary Chesapeake City Public Schools
40.5,A.G. Richardson Elementary Culpeper County Public Schools
35.8,Culpeper County High Culpeper County Public Schools
47.6,Culpeper Middle Culpeper County Public Schools
40.6,Eastern View High Culpeper County Public Schools
69.1,Farmington Elementary Culpeper County Public Schools
52,Floyd T. Binns Middle Culpeper County Public Schools
72.7,Sycamore Park Elementary Culpeper County Public Schools
46.2,Yowell Elementary Culpeper County Public Schools
33,Emerald Hill Elementary Culpeper County Public Schools
56.4,Pearl Sample Elementary Culpeper County Public Schools
37.5,H.M. Pearson Elementary Fauquier County Public Schools
61.1,Claude Thompson Elementary Fauquier County Public Schools
37.9,Margaret M. Pierce Elementary Fauquier County Public Schools
24.4,C.M. Bradley Elementary Fauquier County Public Schools
32.3,James G. Brumfield Elementary Fauquier County Public Schools
27.4,W.C. Taylor Middle Fauquier County Public Schools
18.2,Warrenton Middle Fauquier County Public Schools
8.3,P.B. Smith Elementary Fauquier County Public Schools
7.3,Greenville Elementary Fauquier County Public Schools
52.9,Mary Walter Elementary Fauquier County Public Schools
40.1,Grace Miller Elementary Fauquier County Public Schools
35.3,Liberty High Fauquier County Public Schools
36.1,Marshall Middle Fauquier County Public Schools
12.5,Auburn Middle Fauquier County Public Schools
31.9,W.G. Coleman Elementary Fauquier County Public Schools
19.2,Fauquier High Fauquier County Public Schools
10.6,Kettle Run High Fauquier County Public Schools
47.6,Cedar Lee Middle Fauquier County Public Schools
14.3,C. Hunter Ritchie Elementary Fauquier County Public Schools
31.6,Fluvanna County High Fluvanna County Public Schools
37.1,Fluvanna Middle Fluvanna County Public Schools
38.3,Carysbrook Elementary Fluvanna County Public Schools
85.1,Henry Elementary Franklin County Public Schools
50.5,Burnt Chimney Elementary Franklin County Public Schools
85.2,Ferrum Elementary Franklin County Public Schools
63,Snow Creek Elementary Franklin County Public Schools
43.5,Boones Mill Elementary Franklin County Public Schools
50.5,Benjamin Franklin Middle Franklin County Public Schools
85,Rocky Mount Elementary Franklin County Public Schools
65.5,Glade Hill Elementary Franklin County Public Schools
58.4,Callaway Elementary Franklin County Public Schools
84.9,Sontag Elementary Franklin County Public Schools
43.4,Franklin County High Franklin County Public Schools
85,Lee M. Waid Elementary Franklin County Public Schools
49.2,Windy Gap Elementary Franklin County Public Schools
45.8,Dudley Elementary Franklin County Public Schools
57.7,Highland Elementary Highland County Public Schools
59.8,Highland High Highland County Public Schools
25.5,George W. Watkins Elementary New Kent County Public Schools
90.9,Crewe Primary Nottoway County Public Schools
90.9,Nottoway High Nottoway County Public Schools
90.8,Nottoway Intermediate Nottoway County Public Schools
90.9,Nottoway Middle Nottoway County Public Schools
90.9,Blackstone Primary Nottoway County Public Schools
100,Cool Spring Elementary Petersburg City Public Schools
100,Lakemont Elementary Petersburg City Public Schools
100,Pleasants Lane Elementary Petersburg City Public Schools
100,Vernon Johns Middle Petersburg City Public Schools
100,Walnut Hill Elementary Petersburg City Public Schools
100,Petersburg High Petersburg City Public Schools
54.9,Simonsdale Elementary Portsmouth City Public Schools
100,Hodges Manor Elementary Portsmouth City Public Schools
64.4,Manor High Portsmouth City Public Schools
100,Douglass Park Elementary Portsmouth City Public Schools
100,Lakeview Elementary Portsmouth City Public Schools
100,William E. Waters Middle Portsmouth City Public Schools
58.9,Victory Elementary Portsmouth City Public Schools
100,Cradock Middle Portsmouth City Public Schools
100,Cradock Elementary Portsmouth City Public Schools
50,Churchland Primary & Intermediate Portsmouth City Public Schools
59.4,Churchland Academy Elementary Portsmouth City Public Schools
53.7,Churchland Middle Portsmouth City Public Schools
48.8,Churchland High Portsmouth City Public Schools
100,Park View Elementary Portsmouth City Public Schools
100,I.C. Norcom High Portsmouth City Public Schools
100,Waterview Elementary Portsmouth City Public Schools
100,Westhaven Elementary Portsmouth City Public Schools
39.1,Churchland Elementary Portsmouth City Public Schools
18.4,Flat Rock Elementary Powhatan County Public Schools
16.5,Powhatan Elementary Powhatan County Public Schools
20.2,Powhatan Middle Powhatan County Public Schools
29.5,Pocahontas Elementary Powhatan County Public Schools
17,Powhatan High Powhatan County Public Schools
74.1,Rappahannock High Richmond County Public Schools
74.2,Richmond County Elementary Richmond County Public Schools
40.8,Edward E. Drew Jr. Middle Stafford County Public Schools
47.2,Falmouth Elementary Stafford County Public Schools
24.3,Grafton Village Elementary Stafford County Public Schools
27.8,Hartwood Elementary Stafford County Public Schools
42.3,Anthony Burns Elementary Stafford County Public Schools
20.4,Colonial Forge High Stafford County Public Schools
31.4,H.H. Poole Middle Stafford County Public Schools
17.3,Rodney E. Thompson Middle Stafford County Public Schools
43.5,Shirley C. Heim Middle Stafford County Public Schools
25.3,Stafford Elementary Stafford County Public Schools
44,Stafford Middle Stafford County Public Schools
53.9,Widewater Elementary Stafford County Public Schools
29.1,Andrew G. Wright Middle Stafford County Public Schools
61.7,Anne E. Moncure Elementary Stafford County Public Schools
25.2,Rockhill Elementary Stafford County Public Schools
40.7,Conway Elementary Stafford County Public Schools
41.1,Rocky Run Elementary Stafford County Public Schools
33.3,T. Benton Gayle Middle Stafford County Public Schools
31.3,Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools
29.3,Brooke Point High Stafford County Public Schools
22.8,Hampton Oaks Elementary Stafford County Public Schools
56.2,Kate Waller Barrett Elementary Stafford County Public Schools
40.7,North Stafford High Stafford County Public Schools
25.6,Park Ridge Elementary Stafford County Public Schools
29.6,Stafford Senior High Stafford County Public Schools
24.2,Winding Creek Elementary Stafford County Public Schools
36.6,Ferry Farm Elementary Stafford County Public Schools
53.2,Tazewell High Tazewell County Public Schools
56.6,Tazewell Middle Tazewell County Public Schools
50,Graham Intermediate Tazewell County Public Schools
43.4,Graham High Tazewell County Public Schools
86.7,Richlands Middle Tazewell County Public Schools
86.8,Richlands Elementary Tazewell County Public Schools
56.2,Cedar Bluff Elementary Tazewell County Public Schools
86.6,Tazewell Intermediate Tazewell County Public Schools
51.1,Richlands High Tazewell County Public Schools
47.7,Graham Middle Tazewell County Public Schools
94.6,Abb's Valley-Boissevain Elementary Tazewell County Public Schools
65.3,Daniel Morgan Intermediate Winchester City Public Schools
63.1,Daniel Morgan Middle Winchester City Public Schools
82.8,Frederick Douglass Elementary Winchester City Public Schools
82.9,Garland R. Quarles Elementary Winchester City Public Schools
82.8,John Kerr Elementary Winchester City Public Schools
50.8,John Handley High Winchester City Public Schools
10.6,Western Albemarle High Albemarle County Public Schools
32.3,Stony Point Elementary Albemarle County Public Schools
10.4,Meriwether Lewis Elementary Albemarle County Public Schools
39.7,Leslie H. Walton Middle Albemarle County Public Schools
25,Baker-Butler Elem Albemarle County Public Schools
43.4,Scottsville Elementary Albemarle County Public Schools
52.8,Red Hill Elementary Albemarle County Public Schools
61.9,Woodbrook Elementary Albemarle County Public Schools
53.2,Agnor-Hurt Elementary Albemarle County Public Schools
73,Mary Carr Greer Elementary Albemarle County Public Schools
41.6,Mountain View Elementary Albemarle County Public Schools
29.5,Monticello High Albemarle County Public Schools
40.5,Jackson P. Burley Middle Albemarle County Public Schools
21.2,Community Lab School Albemarle County Public Schools
6.6,Virginia L. Murray Elementary Albemarle County Public Schools
26.8,Stone Robinson Elementary Albemarle County Public Schools
14.9,Hollymead Elementary Albemarle County Public Schools
54.9,Journey Middle Albemarle County Public Schools
29.2,Albemarle High Albemarle County Public Schools
10.9,Brownsville Elementary Albemarle County Public Schools
13.3,Joseph T. Henley Middle Albemarle County Public Schools
19.8,Lakeside Middle Albemarle County Public Schools
15.1,Broadus Wood Elementary Albemarle County Public Schools
26,Crozet Elementary Albemarle County Public Schools
32.9,Long Branch Elementary Arlington County Public Schools
29.6,Washington-Liberty High Arlington County Public Schools
61.4,Barrett Elementary Arlington County Public Schools
29.9,Alice West Fleet Elementary Arlington County Public Schools
61.9,Barcroft Elementary Arlington County Public Schools
81.2,Carlin Springs Elementary Arlington County Public Schools
45.8,Hoffman-Boston Elementary Arlington County Public Schools
52.2,Kenmore Middle Arlington County Public Schools
73.1,Randolph Elementary Arlington County Public Schools
30.7,Arlington Traditional Arlington County Public Schools
15.7,Ashlawn Elementary Arlington County Public Schools
8.7,Cardinal Elementary Arlington County Public Schools
39.4,Escuela Key Elementary Arlington County Public Schools
20,Swanson Middle Arlington County Public Schools
37,Gunston Middle Arlington County Public Schools
14.4,Dorothy Hamm Middle Arlington County Public Schools
15.4,Glebe Elementary Arlington County Public Schools
3.4,Jamestown Elementary Arlington County Public Schools
4.3,Nottingham Elementary Arlington County Public Schools
4,Williamsburg Middle Arlington County Public Schools
1.5,Tuckahoe Elementary Arlington County Public Schools
61.1,Dr. Charles R. Drew Elementary Arlington County Public Schools
44.5,Abingdon Elementary Arlington County Public Schools
40.9,Jefferson Middle Arlington County Public Schools
3.4,Discovery Elementary Arlington County Public Schools
23.1,Oakridge Elementary Arlington County Public Schools
41.1,Wakefield High Arlington County Public Schools
11.7,Yorktown High Arlington County Public Schools
4.7,Taylor Elementary Arlington County Public Schools
28.3,Montessori Public School of Arlington Arlington County Public Schools
22.8,Arlington Community High Arlington County Public Schools
50.2,Campbell Elementary Arlington County Public Schools
30.7,Claremont Immersion Arlington County Public Schools
45.2,Buchanan Elementary Botetourt County Public Schools
24.3,James River High Botetourt County Public Schools
36.4,Breckinridge Elementary Botetourt County Public Schools
30.2,Central Academy Middle Botetourt County Public Schools
23.7,Read Mountain Middle Botetourt County Public Schools
60.5,Eagle Rock Elementary Botetourt County Public Schools
29,Greenfield Elementary Botetourt County Public Schools
28.5,Troutville Elementary Botetourt County Public Schools
23.9,Cloverdale Elementary Botetourt County Public Schools
27.9,Colonial Elementary Botetourt County Public Schools
18.9,Lord Botetourt High Botetourt County Public Schools
97.9,Red Oak-Sturgeon Elementary Brunswick County Public Schools
97.8,Brunswick High Brunswick County Public Schools
97.7,James S. Russell Middle Brunswick County Public Schools
97.6,Meherrin Powellton Elementary Brunswick County Public Schools
97.7,Totaro Elementary Brunswick County Public Schools
77.8,Enderly Heights Elementary Buena Vista City Public Schools
50.4,Parry McCluer High Buena Vista City Public Schools
78,Parry McCluer Middle Buena Vista City Public Schools
61.9,Bacon District Elementary Charlotte County Public Schools
60.8,Eureka Elementary Charlotte County Public Schools
50.7,Randolph-Henry High Charlotte County Public Schools
59.9,Central Middle Charlotte County Public Schools
62.9,Phenix Elementary Charlotte County Public Schools
70.2,Ridgeview High Dickenson County Public Schools
86.5,Ridgeview Middle Dickenson County Public Schools
82.1,Ervinton Elementary Dickenson County Public Schools
82.1,Sandlick Elementary Dickenson County Public Schools
82.2,Clintwood Elementary Dickenson County Public Schools
42.7,Dinwiddie County High Dinwiddie County Public Schools
54,Dinwiddie County Middle Dinwiddie County Public Schools
72.5,Southside Elementary Dinwiddie County Public Schools
38.8,Midway Elementary Dinwiddie County Public Schools
50.1,Dinwiddie Elementary Dinwiddie County Public Schools
58.4,Sunnyside Elementary Dinwiddie County Public Schools
58.2,Sutherland Elementary Dinwiddie County Public Schools
